MID,fb,Rating
Mxlljejl,Undoubtedly your knowledge in UI technology is fairly good. You have given the application a total turn around. With your presence we could take the applications where we are wanted to take the same.,4
Mxlljejl,,4
Mxlljejl,,4
Mxlljejl,"

My opinion to you is that you being so skilled, you need to keep your learning pace little faster. This would not only increase your knowledge but also will give you more opportunity to make your worth realized everywhere you go.ÿ



",4
Mxlljejl,,4
Mxlljejl,"I would say that you have understood the application requirements well and whatever you have suggested did the job correctly. On the estimation part, I would say your accuracy of delivery was 90+%. I used to be confident that you would deliver what you have promised on the given time, in most of the scenarios.",4
Mxlljejl,,4
Mxlljejl,There were no incidents of CM issue or anything for that matter from your side. You have nicely worked on a different branch and eventually got it merged with the main development branch without creating any hickups in work. I would certainly say that variance in the time had a valid reasons.,4
Mxlljejl,,4
Mxlljejl,,4
Mxlljejl,,4
Mxlljejl,,4
Mxlljejl,,4
Mxlljejl,,4
Mxlljejl,,4
Mxllhehe,,3.5
Mxllhehe,Supported MDM requests and handled the requests independently.,3.5
Mxllhehe,You have done good job in MDM Support . You were flexible to work in over lap timings with customer on daily basis.,3.5
Mxllhehe,,3.5
Mxllhehe,,3.5
Mxllhehe,"You completed ÿtasks on time. You were flexible to have over lap timings with customer to ensure smooth delivery.




Improve your ÿCIT system and MDM knowledge. Try to involve in additional activities releated to MDM apart from your ÿassigned activities",3.5
Mxllhehe,,3.5
Mxllhehe,"Completed the assigned training.





Improve your knowledge on MDM contribute more effectively.

Improve your CIT domain knowledge.




",3.5
Mxllhehe,"Jagadeesh did a good job in process adherence to CIT process.

Submitted time sheets on timeÿ",3.5
Mxllhehe,,3.5
Mxllhehe,,3.5
Mxllhehe,,3.5
Mxllhehe,,3.5
Mxllhehe,,3.5
Mxllggal,,4
Mxllggal,Agreed to the comments.,4
Mxllggal,,4
Mxllggal,Agreed to the comments.,4
Mxllggal,"Agreed, Manjula fixed the HR Procedure which was critical to HR Department users.",4
Mxllggal,,4
Mxllggal,,4
Mxllggal,,4
Mxllggal,,4
Mxllggal,,4
Mxllggal,,4
Mxlxljjy,Supporting various team on migrations and performing elevations without any time lag.ÿ,4
Mxlxljjy,,4
